#F nifilm-tof-2.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (0.7, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
1.028503443759715488e-02 9.059423206641879593e-05 1.026634095642818378e+00 6.440211887789770717e-02 1.492686886204714014e+01
1.049073512634909715e-02 9.240611670774719489e-05 8.926334278581368187e-01 5.861039806547512637e-02 1.463418515886974447e+01
1.070054982887608079e-02 9.425423904190212659e-05 8.275260876303022206e-01 5.600511019606509849e-02 1.434724035183308111e+01
1.091456082545360327e-02 9.613932382274017021e-05 8.208063269187221289e-01 5.622861156284351958e-02 1.406592191356184429e+01
1.113285204196267503e-02 9.806211029919499991e-05 7.358063315177033603e-01 5.249739538128915528e-02 1.379011952309984679e+01
1.135550908280192825e-02 1.000233525051788834e-04 7.185443941114372235e-01 5.290603995994732495e-02 1.351972502264690945e+01
1.158261926445796654e-02 1.020238195552824665e-04 7.723341158181037391e-01 6.037819753943211160e-02 1.325463237514402870e+01
1.181427164974712708e-02 1.040642959463881082e-04 7.225851458750558454e-01 5.814867826656806155e-02 1.299473762269022359e+01
1.205055708274207008e-02 1.061455818653159200e-04 6.760789139300183992e-01 5.603394252178473672e-02 1.273993884577472713e+01
1.229156822439691175e-02 1.082684935026222048e-04 6.387283247506023720e-01 5.438975384521553547e-02 1.249013612330855594e+01
1.253739958888485002e-02 1.104338633726746545e-04 6.947442335849337569e-01 5.825994155113075473e-02 1.224523149343976058e+01
1.278814758066254553e-02 1.126425406401281487e-04 6.182758176283030815e-01 4.329645356531084538e-02 1.200512891513702129e+01
1.304391053227579693e-02 1.148953914529307022e-04 5.585642785751239181e-01 3.448056141985814116e-02 1.176973423052649181e+01
1.330478874292131269e-02 1.171932992819892881e-04 5.739145536146984528e-01 3.547232640325660019e-02 1.153895512796714939e+01
1.357088451777973930e-02 1.195371652676291082e-04 5.598174291424066196e-01 3.522375818688974758e-02 1.131270110585014521e+01
1.384230220813533439e-02 1.219279085729816888e-04 5.492746745123686658e-01 3.511839968136792195e-02 1.109088343710798519e+01
1.411914825229804160e-02 1.243664667444413768e-04 5.351297646885158077e-01 3.484800707580535534e-02 1.087341513441959329e+01
1.440153121734400431e-02 1.268537960793301826e-04 5.244761163276542293e-01 3.080174180733220510e-02 1.066021091609763971e+01
1.468956184169088221e-02 1.293908720009167386e-04 4.743973805889777351e-01 2.755555769352529411e-02 1.045118717264474562e+01
1.498335307852470197e-02 1.319786894409351037e-04 4.440229213009174725e-01 2.664530293617746112e-02 1.024626193396543528e+01
1.528302014009519545e-02 1.346182632297538350e-04 4.540328145891031619e-01 2.730622968488242985e-02 1.004535483722101574e+01
1.558868054289710113e-02 1.373106284943489020e-04 4.170325285046727615e-01 2.609192031490172731e-02 9.848387095314720341e+00
1.590045415375504131e-02 1.400568410642358372e-04 4.100973466770579945e-01 2.606749579330885219e-02 9.655281465994825396e+00
1.621846323683014124e-02 1.428579778855205832e-04 3.922202761539343441e-01 2.260879184225247571e-02 9.465962221563554380e+00
1.654283250156674337e-02 1.457151374432309602e-04 3.805932413708965067e-01 2.208525260682993666e-02 9.280355119179954926e+00
1.687368915159808552e-02 1.486294401920956406e-04 3.219261856278712863e-01 2.007339846058649180e-02 9.098387371745051411e+00
1.721116293463004557e-02 1.516020289959375713e-04 3.592696231607070967e-01 2.171712089379045085e-02 8.919987619357893749e+00
1.755538619332264530e-02 1.546340695758562902e-04 3.063642738146235556e-01 1.985594671956517759e-02 8.745085901331268730e+00
1.790649391718909800e-02 1.577267509673734242e-04 3.275634994496389174e-01 2.090330021058058041e-02 8.573613628756145744e+00
1.826462379553288329e-02 1.608812859867209111e-04 2.828554303304700035e-01 1.422818770261795318e-02 8.405503557604063758e+00
1.862991627144353762e-02 1.640989117064553396e-04 3.096179452146685107e-01 1.514973168712800689e-02 8.240689762356925741e+00
1.900251459687240727e-02 1.673808899405844551e-04 2.984898121197478438e-01 1.495903922951567072e-02 8.079107610153849706e+00
1.938256488880985701e-02 1.707285077393961095e-04 2.644146308599628070e-01 1.403160315279225814e-02 7.920693735444949368e+00
1.977021618658605581e-02 1.741430778941840799e-04 2.654982008394355386e-01 1.420631522236329158e-02 7.765386015142107468e+00
2.016562051031777630e-02 1.776259394520677008e-04 2.318890874994562756e-01 1.322046696303372411e-02 7.613123544256968245e+00
2.056893292052413419e-02 1.811784582411091128e-04 2.311900072846602705e-01 1.070719660416430755e-02 7.463846612016634907e+00
2.098031157893461701e-02 1.848020274059312539e-04 2.238998694242914089e-01 1.061032451999990335e-02 7.317496678447681369e+00
2.139991781051330672e-02 1.884980679540498817e-04 2.040734332804081397e-01 1.014725636380562832e-02 7.174016351419295390e+00
2.182791616672357521e-02 1.922680293131308847e-04 2.064452107596009833e-01 1.031775492737996812e-02 7.033349364136563864e+00
