#F nifilm-tof-4.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
8.303225002409107824e-02 7.313215339997131007e-04 4.971226910322280911e-04 1.418967098166553617e-05 7.920693735444949368e+00
8.469289502457288954e-02 7.459479646797075947e-04 4.872450088977152752e-04 1.418770578123217705e-05 7.765386015142107468e+00
8.638675292506435566e-02 7.608669239733016404e-04 5.371036177305722444e-04 1.503416209250818854e-05 7.613123544256968245e+00
8.811448798356563694e-02 7.760842624527676537e-04 5.340912618746950988e-04 1.216368890836210076e-05 7.463846612016634907e+00
8.987677774323694913e-02 7.916059477018230718e-04 5.142725721261280202e-04 1.205452310921364906e-05 7.317496678447681369e+00
9.167431329810168950e-02 8.074380666558592752e-04 5.236938423107117277e-04 1.228553905659167851e-05 7.174016351419295390e+00
9.350779956406372884e-02 8.235868279889764932e-04 4.842180424480816889e-04 1.193074284893436074e-05 7.033349364136563864e+00
9.537795555534502034e-02 8.400585645487563483e-04 4.693271623562905357e-04 1.186264953950462153e-05 6.895440553075061985e+00
9.728551466645191104e-02 8.568597358397315577e-04 4.133667774188776178e-04 1.017848966428747009e-05 6.760235836348099880e+00
9.923122495978095592e-02 8.739969305565259720e-04 3.767783388233829009e-04 8.598130760506139967e-06 6.627682192498137503e+00
1.012158494589765756e-01 8.914768691676566714e-04 3.298977773733219126e-04 8.125323976123281932e-06 6.497727639704056202e+00
1.032401664481561038e-01 9.093064065510097875e-04 2.938470924232492506e-04 7.744688425888609121e-06 6.370321215396133496e+00
1.053049697771192145e-01 9.274925346820298011e-04 2.456071947504325859e-04 7.150779847279175766e-06 6.245412956270719462e+00
1.074110691726616051e-01 9.460423853756705229e-04 1.980801211493175482e-04 6.485494262012136854e-06 6.122953878696783647e+00
1.095592905561148384e-01 9.649632330831839355e-04 1.539337434148480509e-04 5.148710761313446983e-06 6.002895959506650669e+00
1.117504763672371310e-01 9.842624977448473627e-04 1.164056308261696019e-04 3.585741346377400703e-06 5.885192117163382974e+00
