#F nifilm-tof-1.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (0.3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
4.407961417567833780e-03 3.882702766449441973e-05 1.197591892728618879e+00 2.137384609572842153e-01 1.492686886204714014e+01
4.496120645919190681e-03 3.960356821778431436e-05 1.150729601274019132e+00 2.093326686684983950e-01 1.463418515886974447e+01
4.586043058837575154e-03 4.039563958213999821e-05 1.101513781404140024e+00 2.044662937065960528e-01 1.434724035183308111e+01
4.677763920014326587e-03 4.120355237378279357e-05 9.577752617323918027e-01 1.858585931060480478e-01 1.406592191356184429e+01
4.771319198414613293e-03 4.202762342125846015e-05 8.454208560291658348e-01 1.712235640353367283e-01 1.379011952309984679e+01
4.866745582382905368e-03 4.286817588968361986e-05 1.006504732942768321e+00 1.996607517440937285e-01 1.351972502264690945e+01
4.964080494030563909e-03 4.372553940747730175e-05 9.275098160967345517e-01 2.036348545683468181e-01 1.325463237514402870e+01
5.063362103911174875e-03 4.460005019562683653e-05 1.206226515833793256e+00 2.509079794889254589e-01 1.299473762269022359e+01
5.164629345989399899e-03 4.549205119953939047e-05 1.013230273300392170e+00 2.218667304694264819e-01 1.273993884577472713e+01
5.267921932909187463e-03 4.640189222353018398e-05 1.156529983381441085e+00 2.477641288053868407e-01 1.249013612330855594e+01
5.373280371567370865e-03 4.732993006800077844e-05 1.079263937683204944e+00 2.373609102902657364e-01 1.224523149343976058e+01
5.480745978998718439e-03 4.827652866936080119e-05 8.319357720411176826e-01 1.576876723104832234e-01 1.200512891513702129e+01
5.590360898578692304e-03 4.924205924274800976e-05 1.082038078611135212e+00 1.636740428141714443e-01 1.176973423052649181e+01
5.702168116550265613e-03 5.022690042760295884e-05 1.115807179086479417e+00 1.692180983655105775e-01 1.153895512796714939e+01
5.816211478881272261e-03 5.123143843615503469e-05 8.535924920011438433e-01 1.399117454061220289e-01 1.131270110585014521e+01
5.932535708458897515e-03 5.225606720487813281e-05 1.085175846352766982e+00 1.689808596324966217e-01 1.109088343710798519e+01
6.051186422628075830e-03 5.330118854897570495e-05 9.138190092193906322e-01 1.500382578858294735e-01 1.087341513441959329e+01
6.172210151080637607e-03 5.436721231995521309e-05 9.401478150352425844e-01 1.372794595424737807e-01 1.066021091609763971e+01
6.295654354102249613e-03 5.545455656635431843e-05 1.134209795025241885e+00 1.512618259740760862e-01 1.045118717264474562e+01
6.421567441184296114e-03 5.656364769768141144e-05 9.640783257714421461e-01 1.351146309403896961e-01 1.024626193396543528e+01
6.549998790007981360e-03 5.769492065163504021e-05 1.032527886901226655e+00 1.436598479173656628e-01 1.004535483722101574e+01
6.680998765808141351e-03 5.884881906466774346e-05 9.729362774286299809e-01 1.387606865327479233e-01 9.848387095314720341e+00
6.814618741124303138e-03 6.002579544596108166e-05 1.084472889851387567e+00 1.520806454696605747e-01 9.655281465994825396e+00
6.950911115946789218e-03 6.122631135488031345e-05 9.943222343218317549e-01 1.271312083607321619e-01 9.465962221563554380e+00
7.089929338265725349e-03 6.245083758197790969e-05 8.567110772865486057e-01 1.133868084200988502e-01 9.280355119179954926e+00
7.231727925031041643e-03 6.369985433361749635e-05 9.233082402756184193e-01 1.209958448878844239e-01 9.098387371745051411e+00
7.376362483531662649e-03 6.497385142028983787e-05 1.109948405988483655e+00 1.403325122200348440e-01 8.919987619357893749e+00
7.523889733202295503e-03 6.627332844869563029e-05 8.662642786737430045e-01 1.177568477715765644e-01 8.745085901331268730e+00
7.674367527866341430e-03 6.759879501766954805e-05 1.058557794791211704e+00 1.380737270794579752e-01 8.573613628756145744e+00
7.827854878423669283e-03 6.895077091802293630e-05 9.860612708126369474e-01 9.753372700748862145e-02 8.405503557604063758e+00
7.984411975992141558e-03 7.032978633638338744e-05 1.138418854014671577e+00 1.095329144726664983e-01 8.240689762356925741e+00
8.144100215511982863e-03 7.173638206311105329e-05 1.020437263689507157e+00 1.018037174186296190e-01 8.079107610153849706e+00
8.306982219822223873e-03 7.317110970437329279e-05 1.179283655475645398e+00 1.147924865853184317e-01 7.920693735444949368e+00
8.473121864218668975e-03 7.463453189846075918e-05 1.019823995974381114e+00 1.037928812219031799e-01 7.765386015142107468e+00
8.642584301503041314e-03 7.612722253642996895e-05 9.748627889057449591e-01 1.012720526673930449e-01 7.613123544256968245e+00
8.815435987533103840e-03 7.764976698715857347e-05 1.009952517516917503e+00 8.437211319590705305e-02 7.463846612016634907e+00
8.991744707283765708e-03 7.920276232690175037e-05 9.586132645431455490e-01 8.195054809467097745e-02 7.317496678447681369e+00
9.171579601429441855e-03 8.078681757343977074e-05 9.887308902425973045e-01 8.469990769811805431e-02 7.174016351419295390e+00
9.355011193458030727e-03 8.240255392490857455e-05 8.782557191852309320e-01 7.835093222428120285e-02 7.033349364136563864e+00
9.542111417327190856e-03 8.405060500340675797e-05 8.502706216925458582e-01 7.727744948384646095e-02 6.895440553075061985e+00
9.732953645673735749e-03 8.573161710347488391e-05 8.947999611574076750e-01 7.334734119057619017e-02 6.760235836348099880e+00
9.927612718587209423e-03 8.744624944554438241e-05 9.862211052753031559e-01 6.975791944680685697e-02 6.627682192498137503e+00
1.012616497295895472e-02 8.919517443445528577e-05 1.049021280442452575e+00 7.380028022434390045e-02 6.497727639704056202e+00
1.032868827241813399e-02 9.097907792314436140e-05 8.528999106206075487e-01 6.390987924853160085e-02 6.370321215396133496e+00
1.053526203786649476e-02 9.279865948160726462e-05 7.987795344739546666e-01 6.154540504423286484e-02 6.245412956270719462e+00
1.074596727862382577e-02 9.465463267123940504e-05 7.717317522175033417e-01 6.063530318695238563e-02 6.122953878696783647e+00
1.096088662419630183e-02 9.654772532466420398e-05 7.523858693800055120e-01 5.362246043575671223e-02 6.002895959506650669e+00
1.118010435668022849e-02 9.847867983115748860e-05 7.455655115867559912e-01 4.266685269646558476e-02 5.885192117163382974e+00
1.140370644381383421e-02 1.004482534277806576e-04 7.262339630499292653e-01 4.229293697514726474e-02 5.769796193297433540e+00
1.163178057269011016e-02 1.024572184963362431e-04 7.262054273342950506e-01 4.271258177118175681e-02 5.656662934605327209e+00
1.186441618414391282e-02 1.045063628662629894e-04 6.546327160791823863e-01 4.009864122909871653e-02 5.545747975103261673e+00
1.210170450782679236e-02 1.065964901235882473e-04 7.207194474166986886e-01 4.333294439253507213e-02 5.437007818728687880e+00
1.234373859798332772e-02 1.087284199260600093e-04 6.564209827427155419e-01 3.329086582977299619e-02 5.330399822283027333e+00
1.259061336994299340e-02 1.109029883245812219e-04 6.148485415527888964e-01 3.059922602754194462e-02 5.225882178708850745e+00
