#F nifilm-tof-1.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (0.3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
1.284242563734185570e-02 1.131210480910728347e-04 6.127173180805213226e-01 3.082973328308527550e-02 5.123413900694950840e+00
1.309927415008869250e-02 1.153834690528943066e-04 5.602179284088906197e-01 2.928409589151657888e-02 5.022954804602893120e+00
1.336125963309046753e-02 1.176911384339522171e-04 5.263890069175761743e-01 2.835612122197252866e-02 4.924465494708718083e+00
1.362848482575227359e-02 1.200449612026312332e-04 5.587827660059152546e-01 2.879499292726315357e-02 4.827907347753646050e+00
1.390105452226732090e-02 1.224458604266838652e-04 4.869766882242708705e-01 2.260663153763880356e-02 4.733242497797691684e+00
1.417907561271266985e-02 1.248947776352175452e-04 5.075144007276435332e-01 2.346846546143123782e-02 4.640433821370285372e+00
1.446265712496692252e-02 1.273926731879218728e-04 4.559854917856833167e-01 2.207923006329267843e-02 4.549444922912044831e+00
1.475191026746626097e-02 1.299405266516803206e-04 4.830802818772914065e-01 2.316444792327510341e-02 4.460240120502004579e+00
1.504694847281558626e-02 1.325393371847139465e-04 4.446136101296740417e-01 2.215120258009930371e-02 4.372784431864710442e+00
1.534788744227189722e-02 1.351901239284082374e-04 4.362092460713660191e-01 2.101157334688336445e-02 4.287043560651676799e+00
1.565484519111733780e-02 1.378939264069764298e-04 4.242306491392482948e-01 1.646063971525149952e-02 4.202983882991839337e+00
1.596794209493968345e-02 1.406518049351159491e-04 4.052703194927367858e-01 1.614016441560778975e-02 4.120572434305724840e+00
1.628730093683847940e-02 1.434648410338182660e-04 4.040444453886254395e-01 1.626899425672357138e-02 4.039776896378161730e+00
1.661304695557524677e-02 1.463341378544946367e-04 3.830957206796782311e-01 1.587945424403150799e-02 3.960565584684472284e+00
1.694530789468675150e-02 1.492608206115845343e-04 3.956117672062310353e-01 1.637090922927837700e-02 3.882907435965169185e+00
1.728421405258048771e-02 1.522460370238162017e-04 3.366325772119673210e-01 1.364950722809425872e-02 3.806771996044282957e+00
1.762989833363209913e-02 1.552909577642925566e-04 3.148836498169855780e-01 1.274195541843450505e-02 3.732129407886552119e+00
1.798249630030474000e-02 1.583967769195783872e-04 3.103819508133745519e-01 1.275453513418785961e-02 3.658950399888776683e+00
1.834214622631083480e-02 1.615647124579699804e-04 3.116938745229970720e-01 1.291510442005028292e-02 3.587206274400761341e+00
1.870898915083705344e-02 1.647960067071293849e-04 2.983693693634160704e-01 1.269678852726371758e-02 3.516868896471334605e+00
1.908316893385379048e-02 1.680919268412719308e-04 2.784447872084367392e-01 1.229216186261124742e-02 3.447910682815034100e+00
1.946483231253087059e-02 1.714537653780973938e-04 2.589217917447909079e-01 1.122356115811709576e-02 3.380304590995130809e+00
1.985412895878149037e-02 1.748828406856593081e-04 2.509454254379953064e-01 9.106190060384589807e-03 3.314024108818755643e+00
2.025121153795711795e-02 1.783804974993725187e-04 2.573115146517395702e-01 9.336390986024720173e-03 3.249043243939956582e+00
2.065623576871625927e-02 1.819481074493599837e-04 2.231577894190134859e-01 8.661145587404710244e-03 3.185336513666624292e+00
2.106936048409058584e-02 1.855870695983472104e-04 2.343486578736214132e-01 9.004887998329260887e-03 3.122878934967278752e+00
2.149074769377239819e-02 1.892988109903141183e-04 2.164473357542294751e-01 8.676628997222260095e-03 3.061646014673802263e+00
2.192056264764784962e-02 1.930847872101204370e-04 1.982654800073197499e-01 7.242450008243622034e-03 3.001613739876276554e+00
2.235897390060080300e-02 1.969464829543227818e-04 1.915428542984748683e-01 7.076421804881649451e-03 2.942758568506153694e+00
2.280615337861282080e-02 2.008854126134093263e-04 1.828411479966677300e-01 6.957066801928942119e-03 2.885057420104072179e+00
2.326227644618508034e-02 2.049031208656775058e-04 1.849000691246588390e-01 7.071889695924882431e-03 2.828487666768698006e+00
2.372752197510878333e-02 2.090011832829910521e-04 1.697382634564364445e-01 6.799240420444577389e-03 2.773027124283037104e+00
2.420207241461095476e-02 2.131812069486509285e-04 1.617665132147891593e-01 6.671719281701000634e-03 2.718654043414742372e+00
2.468611386290317511e-02 2.174448310876238375e-04 1.517918867596329269e-01 5.651127375099063502e-03 2.665347101387002482e+00
2.517983614016124083e-02 2.217937277093763690e-04 1.429035676143561306e-01 5.516329882228718402e-03 2.613085393516668908e+00
2.568343286296446287e-02 2.262296022635638818e-04 1.290380089417871301e-01 5.261833496041342165e-03 2.561848425016342023e+00
2.619710152022375338e-02 2.307541943088351963e-04 1.230897178079470577e-01 5.176571273979285910e-03 2.511616102957197949e+00
2.672104355062823039e-02 2.353692781950118427e-04 1.095362799038026719e-01 4.902007015480497852e-03 2.462368728389409789e+00
2.725546442164079528e-02 2.400766637589121018e-04 1.194439302637421846e-01 5.087714551802750319e-03 2.414086988617068386e+00
2.780057371007360958e-02 2.448781970340903466e-04 1.105176960684001036e-01 4.790721071958728428e-03 2.366751949624577023e+00
2.835658518427508837e-02 2.497757609747722229e-04 1.001391307015702115e-01 4.584036248484324796e-03 2.320345048651545561e+00
2.892371688796058563e-02 2.547712761942676424e-04 9.825079280834117523e-02 4.581853651512127548e-03 2.274848086913280110e+00
2.950219122571980102e-02 2.598667017181530213e-04 8.632450845358577429e-02 4.313892968352025896e-03 2.230243222463999864e+00
3.009223505023419371e-02 2.650640357525160416e-04 8.035918724872506691e-02 4.192030844594196899e-03 2.186512963200000215e+00
3.069407975123887578e-02 2.703653164675663494e-04 7.964143471338724911e-02 4.429617894575307337e-03 2.143640160000000350e+00
3.130796134626365884e-02 2.757726227969176905e-04 6.939476226875569698e-02 4.235990147799189795e-03 2.101608000000000143e+00
3.193412057318893021e-02 2.812880752528560649e-04 6.585006814032437483e-02 4.160531791099700803e-03 2.060400000000000009e+00
3.257280298465271146e-02 2.869138367579131439e-04 5.811083541282095061e-02 3.932936490186967129e-03 2.020000000000000018e+00
