21420
         0.1254          0.2053          0.5212          0.3198          0.5506          0.1931           0.523          0.8599          0.8024          0.5098          0.8729          0.1078           0.243          0.3562 
         0.0592          0.7773          0.4241          0.5192           0.531          0.3879          0.8928          0.1639          0.8094          0.6875          0.0694          0.7899          0.1849          0.0853 
         0.2969          0.5083          0.2241          0.5795          0.5379          0.3891          0.8168          0.8539          0.6094          0.6335          0.5686          0.4897          0.1223          0.7024 
         0.0327          0.3167          0.3776          0.1507          0.9192          0.7921           0.869          0.8509           0.612          0.0833          0.7576          0.4368          0.4481          0.3462 
         0.8618          0.5399          0.8953          0.8956          0.1286          0.1771          0.8601          0.8327          0.6325          0.1154          0.5725          0.8363          0.4469          0.2977 
         0.0318           0.615          0.4508          0.1884          0.0552          0.7304           0.021          0.1133          0.9316          0.5008          0.4321          0.2923          0.2867          0.0161 
         0.0217          0.9692          0.5549          0.7059          0.9693          0.0855          0.9638          0.5932          0.5899          0.4862          0.8395          0.1786          0.6406           0.845 
         0.2962          0.4289          0.2406          0.5498          0.5596          0.3931          0.1188          0.8531          0.6409          0.6823          0.7148          0.4897          0.2848          0.3552 
          0.818           0.204           0.854          0.0432          0.8923           0.096          0.6346          0.6417          0.1286          0.6288          0.9472          0.0707          0.7848          0.3562 
         0.0518           0.262          0.1509          0.1824           0.741          0.0405          0.9051          0.3737          0.6225          0.2016          0.9788          0.5697           0.217          0.6554 
         0.6188          0.0451          0.7581          0.1741          0.9418          0.7613          0.9091          0.3789          0.8247          0.5458          0.5309          0.6823          0.2554          0.4962 
         0.0368          0.8513           0.813          0.0041          0.1336          0.3357          0.5044          0.6359          0.9304          0.2098          0.4566          0.8493           0.204          0.6554 
         0.0518           0.562          0.1509          0.1827          0.7412          0.4405          0.5051          0.3737          0.6245          0.7017          0.9788          0.5697           0.217           0.176 
         0.0237          0.1652          0.4271          0.9662          0.0168          0.7021          0.5868          0.7449          0.4617          0.6721          0.6434          0.2506          0.2134          0.6574 
         0.7373          0.5692          0.0412          0.6418          0.6419          0.5982          0.5778          0.1419          0.0785          0.4873          0.8324          0.4364          0.4409          0.2977 
         0.9418          0.6759            0.45          0.4856          0.0816          0.7777          0.8602          0.8327           0.682          0.1383          0.5126          0.4966          0.3502          0.6084 
         0.8177          0.9133          0.2762            0.38          0.0223           0.204          0.2049          0.9651          0.4423          0.7058          0.5389          0.6823           0.255          0.1292 
         0.0848          0.3164          0.2996          0.9608          0.0604          0.0089          0.9616          0.2158          0.3931          0.5867          0.2548          0.0909          0.6193          0.9994 
         0.0177          0.1233          0.7086          0.2178          0.4159          0.1055          0.1653          0.8756          0.1363          0.8925          0.3982          0.2129          0.1858          0.1056 
         0.5726          0.1089          0.9619          0.6388           0.258          0.7746          0.2252          0.9448          0.2521          0.8346          0.9162          0.9606          0.8283          0.5629 
         0.0989          0.6083          0.4141          0.5795          0.5572          0.3898          0.2138          0.8539          0.3366          0.4098          0.2486          0.6414           0.204          0.6455 
         0.0929          0.2086          0.3007           0.201          0.5333          0.3857          0.1042          0.4449          0.9094          0.6835          0.7596          0.4807          0.1227          0.7027 
          0.049          0.4176             0.4             0.7          0.1189          0.3337          0.0044          0.4359          0.9359          0.1122           0.521          0.8598          0.4263           0.297 
