# z rho mu P theta
9.69542 -3.45129e-07 5.51301e-09 0 270
10.2221 -3.45129e-07 5.51301e-09 0 270
10.2221 -3.44822e-07 5.51284e-09 0 270
10.7487 -3.44822e-07 5.51284e-09 0 270
10.7487 -3.4435e-07 5.51258e-09 0 270
11.2753 -3.4435e-07 5.51258e-09 0 270
11.2753 -3.43635e-07 5.51219e-09 0 270
11.802 -3.43635e-07 5.51219e-09 0 270
11.802 -3.4257e-07 5.5116e-09 0 270
12.3286 -3.4257e-07 5.5116e-09 0 270
12.3286 -3.41006e-07 5.51074e-09 0 270
12.8552 -3.41006e-07 5.51074e-09 0 270
12.8552 -3.38745e-07 5.5095e-09 0 270
13.3819 -3.38745e-07 5.5095e-09 0 270
13.3819 -3.35526e-07 5.50773e-09 0 270
13.9085 -3.35526e-07 5.50773e-09 0 270
13.9085 -3.31013e-07 5.50525e-09 0 270
14.4352 -3.31013e-07 5.50525e-09 0 270
14.4352 -3.24783e-07 5.50182e-09 0 270
14.9618 -3.24783e-07 5.50182e-09 0 270
14.9618 -3.16312e-07 5.49717e-09 0 270
15.4884 -3.16312e-07 5.49717e-09 0 270
15.4884 -3.04971e-07 5.49093e-09 0 270
16.0151 -3.04971e-07 5.49093e-09 0 270
16.0151 -2.9002e-07 5.48272e-09 0 270
16.5417 -2.9002e-07 5.48272e-09 0 270
16.5417 -2.70607e-07 5.47205e-09 0 270
17.0683 -2.70607e-07 5.47205e-09 0 270
17.0683 -2.45788e-07 5.4584e-09 0 270
17.595 -2.45788e-07 5.4584e-09 0 270
17.595 -2.14538e-07 5.44123e-09 0 270
18.1216 -2.14538e-07 5.44123e-09 0 270
18.1216 -1.75793e-07 5.41993e-09 0 270
18.6483 -1.75793e-07 5.41993e-09 0 270
18.6483 -1.28486e-07 5.39393e-09 0 270
19.1749 -1.28486e-07 5.39393e-09 0 270
19.1749 -7.16058e-08 5.36267e-09 0 270
19.7015 -7.16058e-08 5.36267e-09 0 270
19.7015 -4.25711e-09 5.32565e-09 0 270
20.2282 -4.25711e-09 5.32565e-09 0 270
20.2282 7.42712e-08 5.28249e-09 0 270
20.7548 7.42712e-08 5.28249e-09 0 270
20.7548 1.6444e-07 5.23293e-09 0 270
21.2814 1.6444e-07 5.23293e-09 0 270
21.2814 2.66395e-07 5.17689e-09 0 270
21.8081 2.66395e-07 5.17689e-09 0 270
21.8081 3.79923e-07 5.11449e-09 0 270
22.3347 3.79923e-07 5.11449e-09 0 270
22.3347 5.04408e-07 5.04607e-09 0 270
22.8613 5.04408e-07 5.04607e-09 0 270
22.8613 6.38829e-07 4.97218e-09 0 270
23.388 6.38829e-07 4.97218e-09 0 270
23.388 7.81767e-07 4.89362e-09 0 270
23.9146 7.81767e-07 4.89362e-09 0 270
23.9146 9.31444e-07 4.81135e-09 0 270
24.4413 9.31444e-07 4.81135e-09 0 270
24.4413 1.08579e-06 4.72652e-09 0 270
24.9679 1.08579e-06 4.72652e-09 0 270
24.9679 1.20325e-06 4.66196e-09 0 270
25.2312 1.20325e-06 4.66196e-09 0 270
25.2312 1.31218e-06 4.60208e-09 0 270
25.6984 1.31218e-06 4.60208e-09 0 270
25.6984 1.51907e-06 4.48837e-09 0 270
