# Q dQ R dR fit
0.0369377 0.000424043 0.00504933 0.000703843 0.00502639
0.0371685 0.000426693 0.00637121 0.000846442 0.00446133
0.0373994 0.000429343 0.00514418 0.000709987 0.00387179
0.0376302 0.000431993 0.00432622 0.00061857 0.00329287
0.037861 0.000434643 0.00346374 0.000519102 0.00275632
0.0380919 0.000437293 0.00370656 0.000545452 0.00228857
0.0383227 0.000439943 0.00323396 0.000488719 0.00190792
0.0385536 0.000442593 0.00374329 0.000545577 0.00162523
0.0387844 0.000445242 0.00300392 0.000462309 0.0014427
0.0390153 0.000447892 0.00351318 0.000519493 0.0013546
0.0392461 0.000450542 0.00203276 0.000347329 0.00134837
0.039477 0.000453192 0.0019629 0.000337248 0.00140626
0.0397078 0.000455842 0.00250814 0.0003999 0.00150718
0.0399386 0.000458492 0.0023315 0.000377834 0.00162885
0.0401695 0.000461142 0.0020063 0.00033917 0.00174972
0.0404003 0.000463791 0.00181082 0.000314717 0.00185084
0.0406312 0.000466441 0.00177977 0.000309324 0.00191727
0.040862 0.000469091 0.0018223 0.000313105 0.00193909
0.0410928 0.000471741 0.00236143 0.000375089 0.00191194
0.0413237 0.000474391 0.00209978 0.000343282 0.00183699
0.0415545 0.00047704 0.00257343 0.000397309 0.00172049
0.0417854 0.00047969 0.00190127 0.000318147 0.00157289
0.0420162 0.00048234 0.00137562 0.000253875 0.00140764
0.042247 0.00048499 0.00234373 0.000368084 0.00123983
0.0424779 0.000487639 0.00255077 0.000388813 0.00108471
0.0427087 0.000490289 0.00257699 0.000391619 0.000956318
0.0429396 0.000492939 0.00281929 0.000417857 0.000866214
0.0431704 0.000495589 0.00270517 0.000404128 0.000822543
0.0434012 0.000498238 0.00266548 0.000399288 0.0008296
0.0436321 0.000500888 0.00297963 0.000433153 0.000886747
0.0438629 0.000503538 0.00236519 0.000362765 0.000989756
0.0440937 0.000506188 0.00350839 0.000491108 0.00113049
0.0443246 0.000508837 0.00316841 0.000450973 0.00129787
0.0445554 0.000511487 0.00287512 0.000416112 0.00147876
0.0447862 0.000514137 0.00255394 0.000381571 0.00165918
0.0450171 0.000516786 0.00275204 0.000401965 0.00182524
0.0452479 0.000519436 0.00285141 0.000411817 0.00196411
0.0454787 0.000522086 0.00308927 0.000437241 0.00206498
0.0457096 0.000524735 0.00317735 0.000445641 0.00211988
0.0459404 0.000527385 0.00228029 0.000344575 0.00212496
0.0461712 0.000530035 0.00221202 0.000265374 0.00208098
0.0470946 0.000540633 0.00163996 0.000210996 0.00155944
0.0480179 0.000551231 0.00113466 0.000154407 0.000903925
0.0489412 0.00056183 0.00090211 0.000127847 0.000567138
0.0498645 0.000572428 0.000534983 8.52474e-05 0.000585183
0.0507878 0.000583026 0.000444551 7.4063e-05 0.000652873
0.0517111 0.000593623 0.000523472 8.22264e-05 0.000554985
0.0526344 0.000604221 0.000665397 9.74038e-05 0.0003939
0.0535577 0.000614819 0.000857321 0.000117864 0.000400374
0.054481 0.000625416 0.000943429 0.000126565 0.000617948
0.0554043 0.000636013 0.00119774 0.000153544 0.000842633
0.0563275 0.00064661 0.00110283 0.000142206 0.000853565
0.0572508 0.000657207 0.000778342 0.000106219 0.00064157
0.058174 0.000667804 0.000561327 8.14031e-05 0.000388948
0.0590973 0.0006784 0.000301136 5.1167e-05 0.000260295
0.0600205 0.000688997 0.000174375 3.52057e-05 0.000255339
0.0609437 0.000699593 7.40181e-05 2.06719e-05 0.000264284
0.061867 0.000710189 0.000148891 3.10821e-05 0.000223684
0.0627902 0.000720785 0.00024254 4.23932e-05 0.000181806
0.0637134 0.00073138 0.000414963 6.19863e-05 0.000217241
0.0646366 0.000741976 0.000486063 6.93466e-05 0.000327811
0.0655598 0.000752571 0.000595889 8.10994e-05 0.000422727
0.066483 0.000763166 0.000602937 8.14834e-05 0.000417648
0.0674061 0.000773761 0.000519896 7.19079e-05 0.000317416
0.0683293 0.000784356 0.000411514 5.94161e-05 0.00020034
0.0692525 0.000794951 0.000238953 3.96054e-05 0.000134031
0.0701756 0.000805545 0.000123696 2.52381e-05 0.000120133
0.0710988 0.000816139 3.99989e-05 1.27888e-05 0.000118003
0.0720219 0.000826733 6.39342e-05 1.65331e-05 0.000105
0.072945 0.000837327 0.000130904 2.53955e-05 0.000100023
0.0738681 0.000847921 0.000255016 3.99132e-05 0.000130534
0.0747912 0.000858514 0.000389067 5.46454e-05 0.000189763
0.0757143 0.000869107 0.000414071 5.71776e-05 0.000235816
0.0766374 0.0008797 0.000464598 6.23779e-05 0.000231633
0.0775605 0.000890293 0.000355897 5.02561e-05 0.000179734
0.0784836 0.000900886 0.00026345 3.96924e-05 0.000116059
0.0794066 0.000911478 0.000198901 3.2089e-05 7.41499e-05
0.0803297 0.00092207 9.40052e-05 1.91776e-05 5.95482e-05
0.0812527 0.000932662 5.31863e-05 1.34495e-05 5.71035e-05
0.0821758 0.000943253 3.01418e-05 9.63729e-06 5.59971e-05
0.0830988 0.000953845 4.28313e-05 1.16382e-05 6.17332e-05
0.0840218 0.000964436 0.000149455 2.53916e-05 8.40901e-05
0.0849448 0.000975027 0.000243073 3.60139e-05 0.000118622
0.0858678 0.000985618 0.000255462 3.72077e-05 0.000144795
0.0867908 0.000996208 0.000291897 4.10649e-05 0.000143258
0.0877137 0.0010068 0.000253992 3.66693e-05 0.000113544
0.0886367 0.00101739 0.000178455 2.8015e-05 7.36924e-05
0.0895596 0.00102798 9.78542e-05 1.83377e-05 4.38725e-05
0.0904826 0.00103857 8.20732e-05 1.62264e-05 3.12743e-05
0.0914055 0.00104916 3.58666e-05 9.7446e-06 3.01577e-05
0.0923284 0.00105975 1.97395e-05 4.54558e-06 3.3484e-05
0.0932513 0.00107033 3.22905e-05 7.3163e-06 4.14043e-05
0.0941742 0.00108092 8.78865e-05 1.41201e-05 5.77585e-05
0.0950971 0.00109151 0.000136431 1.95265e-05 8.043e-05
0.09602 0.0011021 0.000189429 2.52738e-05 9.81712e-05
0.0969428 0.00111269 0.000232941 2.99612e-05 9.86694e-05
0.0978657 0.00112327 0.000179559 2.40347e-05 7.97058e-05
0.0987885 0.00113386 0.000177178 2.36509e-05 5.16587e-05
0.0997113 0.00114445 0.000133035 1.87187e-05 2.88027e-05
0.100634 0.00115503 9.74515e-05 1.46807e-05 1.84054e-05
0.101557 0.00116562 4.10241e-05 7.96254e-06 1.80996e-05
0.10248 0.00117621 2.11769e-05 5.24464e-06 2.24595e-05
0.103402 0.00118679 1.76921e-05 4.6858e-06 3.00676e-05
0.104325 0.00119738 6.15033e-05 1.02894e-05 4.30462e-05
0.105248 0.00120796 0.000112037 1.59781e-05 6.05751e-05
0.106171 0.00121855 0.000143039 1.93493e-05 7.51678e-05
0.107093 0.00122913 0.000170275 2.22322e-05 7.72605e-05
0.108016 0.00123972 0.000183542 2.36178e-05 6.38833e-05
0.108939 0.0012503 0.000175753 2.27106e-05 4.20932e-05
0.109862 0.00126088 0.000130941 1.7772e-05 2.32941e-05
0.110784 0.00127147 8.6158e-05 1.27767e-05 1.42159e-05
0.111707 0.00128205 3.78508e-05 7.09554e-06 1.37258e-05
0.11263 0.00129263 2.91571e-05 5.94865e-06 1.75917e-05
0.113552 0.00130321 2.09366e-05 4.81936e-06 2.46423e-05
0.114475 0.0013138 5.0477e-05 8.48807e-06 3.68757e-05
0.115397 0.00132438 9.27286e-05 1.32575e-05 5.38885e-05
0.11632 0.00133496 0.000119476 1.61514e-05 6.91357e-05
0.117243 0.00134554 0.000158355 2.03257e-05 7.36084e-05
0.118165 0.00135612 0.000212116 2.6084e-05 6.37625e-05
0.119088 0.0013667 0.00018163 2.27536e-05 4.51887e-05
0.12001 0.00137728 0.000154816 1.98258e-05 2.79009e-05
0.120933 0.00138786 0.00010787 1.4661e-05 1.82685e-05
0.121855 0.00139844 5.16001e-05 8.32437e-06 1.60279e-05
0.122778 0.00140902 2.3212e-05 4.8455e-06 1.86204e-05
0.1237 0.0014196 2.0716e-05 4.49303e-06 2.66062e-05
0.124623 0.00143018 4.22017e-05 7.13559e-06 4.30252e-05
0.125545 0.00144076 9.26306e-05 1.27753e-05 6.73054e-05
0.126467 0.00145133 0.000171517 2.12851e-05 9.147e-05
0.12739 0.00146191 0.000217234 2.61514e-05 0.000104338
0.128312 0.00147249 0.000269532 3.17197e-05 0.000100286
0.129235 0.00148306 0.000286333 3.34778e-05 8.35575e-05
0.130157 0.00149364 0.00025456 3.00383e-05 6.38052e-05
0.131079 0.00150422 0.000176402 2.16202e-05 4.83577e-05
0.132002 0.00151479 0.000106713 1.40526e-05 4.02371e-05
0.132924 0.00152537 5.97893e-05 8.86062e-06 4.38434e-05
0.133846 0.00153594 3.76635e-05 6.3035e-06 7.03586e-05
0.134769 0.00154652 7.54703e-05 1.05451e-05 0.000134372
0.135691 0.00155709 0.000169219 2.06929e-05 0.000243181
0.136613 0.00156766 0.00036487 4.15612e-05 0.000389866
0.137535 0.00157824 0.000546809 6.09151e-05 0.000558805
0.138457 0.00158881 0.000732692 8.07429e-05 0.000739205
0.13938 0.00159938 0.000865898 9.48492e-05 0.000932179
0.140302 0.00160995 0.000969806 0.000105843 0.00114182
0.141224 0.00162053 0.000981341 0.000107032 0.00135701
0.142146 0.0016311 0.000950997 0.000103797 0.00154218
0.143068 0.00164167 0.00206098 0.000222087 0.00164916
0.14399 0.00165224 0.00522178 0.000558253 0.0016438
0.144913 0.00166281 0.00821547 0.000876481 0.00152685
0.145835 0.00167338 0.00839554 0.000895575 0.00133289
0.146757 0.00168395 0.00684046 0.000730338 0.00110906
0.147679 0.00169452 0.00495171 0.000529753 0.00089103
0.148601 0.00170508 0.00334437 0.000358294 0.000693251
0.149523 0.00171565 0.00222565 0.000239122 0.000516228
0.150445 0.00172622 0.00139335 0.000150543 0.000359796
0.151367 0.00173679 0.000846251 9.23387e-05 0.000229702
0.152289 0.00174735 0.000491594 5.45927e-05 0.000133369
0.153211 0.00175792 0.000254628 2.92737e-05 7.3288e-05
0.154132 0.00176849 0.000147667 1.78129e-05 4.37312e-05
0.155054 0.00177905 6.57383e-05 8.94344e-06 3.43702e-05
0.155976 0.00178962 5.77822e-05 8.04503e-06 3.57172e-05
0.156898 0.00180018 4.93512e-05 7.09756e-06 4.16033e-05
0.15782 0.00181075 5.29377e-05 7.47584e-06 4.80973e-05
0.158742 0.00182131 4.83465e-05 6.94916e-06 5.18435e-05
0.159664 0.00183187 4.84485e-05 6.94914e-06 5.02631e-05
0.160585 0.00184244 4.42908e-05 6.46714e-06 4.30301e-05
0.161507 0.001853 3.98925e-05 5.96075e-06 3.25505e-05
0.162429 0.00186356 2.86937e-05 4.66866e-06 2.24406e-05
0.163351 0.00187412 2.40603e-05 4.10939e-06 1.52957e-05
0.164272 0.00188468 1.8309e-05 3.40416e-06 1.16824e-05
0.165194 0.00189524 1.34616e-05 2.77746e-06 1.08287e-05
0.166116 0.0019058 1.24593e-05 2.63332e-06 1.18137e-05
0.167037 0.00191636 6.57089e-06 1.78532e-06 1.39796e-05
0.167959 0.00192692 9.68199e-06 2.22855e-06 1.65412e-05
0.16888 0.00193748 7.60035e-06 1.92192e-06 1.83334e-05
0.169802 0.00194804 8.68012e-06 2.06823e-06 1.82885e-05
0.170724 0.0019586 7.43669e-06 1.88085e-06 1.61987e-05
0.171645 0.00196915 6.20659e-06 1.68633e-06 1.29069e-05
0.172567 0.00197971 8.86188e-06 2.07435e-06 9.68576e-06
0.173488 0.00199027 9.95038e-06 2.21995e-06 7.41512e-06
