1.002981050697613827e-02	7.330280282055269270e-01	1.936214197445139049e-02
1.013010861204590059e-02	7.424184988930829787e-01	1.921294750859389028e-02
1.023140969816635840e-02	7.872817134752805313e-01	1.954099487420863507e-02
1.033372379514802333e-02	7.438879768394555114e-01	1.864688937372978653e-02
1.043706103309950325e-02	7.955280569974489957e-01	1.926236186579857734e-02
1.054143164343049680e-02	7.710933566858181321e-01	1.864968042179447616e-02
1.064684595986480423e-02	7.240671562440467168e-01	1.777338914560670780e-02
1.075331441946345175e-02	7.454613387089646936e-01	1.809612795400621088e-02
1.086084756365808535e-02	7.684978010049440256e-01	1.793018747701436572e-02
1.096945603929466717e-02	7.416218180128480997e-01	1.693305902602831522e-02
1.107915059968761495e-02	7.631699272364569353e-01	1.678341258745070022e-02
1.118994210568449027e-02	7.508875351552354305e-01	1.622464343535913109e-02
1.130184152674133455e-02	8.077788229927659325e-01	1.665522566869784976e-02
1.141485994200874821e-02	7.642564120375849868e-01	1.582154928794364188e-02
1.152900854142883610e-02	7.256987092555468033e-01	1.517859277475095900e-02
1.164429862684312339e-02	7.946553684420615271e-01	1.607511775467015264e-02
1.176074161311155622e-02	7.312649476868221532e-01	1.510486503246639967e-02
1.187834902924267064e-02	7.750241222418257081e-01	1.540177644532691840e-02
1.199713251953509613e-02	7.642774934370130113e-01	1.520965685247210181e-02
1.211710384473044765e-02	7.908985255194204145e-01	1.535452398346817682e-02
1.223827488317775179e-02	7.496523798915128989e-01	1.454718565754911999e-02
1.236065763200952863e-02	7.343906897926801847e-01	1.417793261204950556e-02
1.248426420832962278e-02	7.863081952216377513e-01	1.482566659720691883e-02
1.260910685041291904e-02	7.440414564224078209e-01	1.402340543045282363e-02
1.273519791891705027e-02	7.618314076842607196e-01	1.389861008180275602e-02
1.286254989810622050e-02	7.904730819100780348e-01	1.392103459084993722e-02
1.299117539708728383e-02	7.538700061484787662e-01	1.315832398224785725e-02
1.312108715105815560e-02	7.843389034959329376e-01	1.348012521003450447e-02
1.325229802256873771e-02	7.958334422559105725e-01	1.340811139377655510e-02
1.338482100279442429e-02	7.794700997348982252e-01	1.312846491433395865e-02
1.351866921282236789e-02	7.668466863816254531e-01	1.304922894347654468e-02
1.365385590495059309e-02	7.789165687858762288e-01	1.298714781809842504e-02
1.379039446400009798e-02	7.794114284904729573e-01	1.268844949409421961e-02
1.392829840864009960e-02	7.820598509357412631e-01	1.231801101547045849e-02
1.406758139272649977e-02	7.796352197911593507e-01	1.195875528127969718e-02
1.420825720665376546e-02	7.876970836918414376e-01	1.190232462034253140e-02
1.435033977872030367e-02	7.676127752676444871e-01	1.163792344309103922e-02
1.449384317650750584e-02	7.777515160256120996e-01	1.158234077478818153e-02
1.463878160827258162e-02	7.852597250941462104e-01	1.150706036568109950e-02
1.478516942435530862e-02	7.642443053111005469e-01	1.102713682088306800e-02
1.493302111859886108e-02	7.931223816750535560e-01	1.109112220599183830e-02
1.508235132978484952e-02	7.810685500168490503e-01	1.072870996564983040e-02
1.523317484308269777e-02	7.594790057146721951e-01	1.047493152155237230e-02
1.538550659151352584e-02	7.584180277494776412e-01	1.027204096199059100e-02
1.553936165742866166e-02	7.674002929940616502e-01	1.029742252394525055e-02
1.569475527400295001e-02	7.715145781838623762e-01	1.010815603335515032e-02
1.585170282674297840e-02	7.859287760328008687e-01	1.006721290488810962e-02
1.601021985501040884e-02	7.849234269487008753e-01	9.808388206402595885e-03
1.617032205356051106e-02	7.824219000504074595e-01	9.830905454594991016e-03
1.633202527409611735e-02	7.750428190479390356e-01	9.571797376544769267e-03
1.649534552683707897e-02	7.752377500597764648e-01	9.401042044828371996e-03
1.666029898210544952e-02	7.660670000467237895e-01	9.156360915055280353e-03
1.682690197192650283e-02	7.848029459001366615e-01	9.087307852729931135e-03
1.699517099164576939e-02	7.812067875240932269e-01	8.961581141593458893e-03
1.716512270156222639e-02	7.699563618299897216e-01	8.722275281583010201e-03
1.733677392857784980e-02	7.719056874269460966e-01	8.561900424482188007e-03
1.751014166786362888e-02	7.814106523328147036e-01	8.517339583118918242e-03
1.768524308454226535e-02	7.734393710430118585e-01	8.381375520971637294e-03
1.786209551538768883e-02	7.712047582140882929e-01	8.176414193727984947e-03
1.804071647054156582e-02	7.868192101884480261e-01	8.171704554698594469e-03
1.822112363524697881e-02	7.745915101225180344e-01	8.007740714894354822e-03
1.840333487159944922e-02	7.752873261535121463e-01	7.860922086695757566e-03
1.858736822031544292e-02	7.744464314584983411e-01	7.780307960619147790e-03
1.877324190251859759e-02	7.732414409241740172e-01	7.640274266918302415e-03
1.896097432154378315e-02	7.785358273863673961e-01	7.569202628263599700e-03
1.915058406475922056e-02	7.701883733327247183e-01	7.454981757089932694e-03
1.934208990540681183e-02	7.805400490733261920e-01	7.384025992965260153e-03
1.953551080446088231e-02	7.819763786212882151e-01	7.245644810367837807e-03
1.973086591250549152e-02	7.841199296729809420e-01	7.187681793613428897e-03
1.992817457163054834e-02	7.840371317694401210e-01	7.173712328266862968e-03
2.012745631734685209e-02	7.747605930300887067e-01	6.953984264148629912e-03
2.032873088052031957e-02	7.808566195198016757e-01	6.912833455831161183e-03
2.053201818932552658e-02	7.734083689308615117e-01	6.768844379663812097e-03
2.073733837121877893e-02	7.799902953096773395e-01	6.762744007825396801e-03
2.094471175493096624e-02	7.715638739966134141e-01	6.624216807899816102e-03
2.115415887248027482e-02	7.858856738665679353e-01	6.670447531667231429e-03
2.136570046120507896e-02	7.739881717282878215e-01	6.564139565910545940e-03
2.157935746581712833e-02	7.947003200526974176e-01	6.654593257600205369e-03
2.179515104047529891e-02	7.646069445799998920e-01	6.291395210812153298e-03
2.201310255088004958e-02	7.772909791543984870e-01	6.270596756718098581e-03
2.223323357638885139e-02	7.717156533686484465e-01	6.141473555847012239e-03
2.245556591215273901e-02	7.826419655496184014e-01	6.145147475409378640e-03
2.268012157127426848e-02	7.722740176468473328e-01	5.999573950163262538e-03
2.290692278698701345e-02	7.592680806416638450e-01	5.890552710493358879e-03
